#bundle=v2.18.0#count=753
balti.xposed.pixelifygooglephotos/balti.xposed.pixelifygooglephotos.ActivityMain	pixelify_gphotos
bin.mt.plus/bin.mt.plus.Main	mt_manager
bin.mt.plus/bin.mt.plus.MainDarkIcon	mt_manager
bin.mt.plus/bin.mt.plus.MainLightIcon	mt_manager
bin.mt.plus/bin.mt.plus.MainNoBgIcon	mt_manager
cn.xuexi.android/com.alibaba.android.rimet.biz.SplashActivity	xuexi_qiangguo
com.MobileTicket/com.MobileTicket.ui.activity.WelcomeGuideActivity	railway_12306
com.MobileTicket/com.alipay.mobile.quinox.LauncherActivity	railway_12306
com.RoamingStar.BlueArchive.bilibili/com.yostar.supersdk.activity.YoStarSplashActivity	blue_archive
com.android.calendar/com.android.calendar.AllInOneActivity	themed_icon_calendar_31
com.android.calendar/com.android.calendar.LaunchTasksActivity	themed_icon_calendar_31
com.android.calendar/com.android.calendar.homepage.AllInOneActivity	themed_icon_calendar_31
com.android.calendar/com.hmct.calendar.activity.FirstAdvertActivity	vsmart_calendar
com.android.calendar/com.meizu.flyme.calendar.AllInOneActivity	themed_icon_calendar_31
com.android.camera/.Camera	generic_camera
com.android.camera/.CameraEntry	generic_camera
com.android.camera/com.android.camera.ArcCamera	generic_camera
com.android.camera/com.android.camera.CamcorderEntry	generic_camera
com.android.camera/com.android.camera.CamcorderSplash	generic_camera
com.android.camera/com.android.camera.Camera	generic_camera
com.android.camera/com.android.camera.CameraActivity	generic_camera
com.android.camera/com.android.camera.CameraActivityWraper	generic_camera
com.android.camera/com.android.camera.CameraActivityWrapera	generic_camera
com.android.camera/com.android.camera.CameraEntry	generic_camera
com.android.camera/com.android.camera.CameraLauncher	generic_camera
com.android.camera/com.android.camera.CameraLoading	generic_camera
com.android.camera/com.android.camera.CameraPre	generic_camera
com.android.camera/com.android.camera.CharmCameraActivity	generic_camera
com.android.camera/com.android.camera.GalleryPicker	generic_camera
com.android.camera/com.android.camera.IfHdmi	generic_camera
com.android.camera/com.android.camera.MirrorEntry	generic_camera
com.android.camera/com.android.camera.SecureCameraActivity	generic_camera
com.android.camera/com.android.camera.VideoCamera	generic_camera
com.android.camera/com.android.camera.app.CameraApp	generic_camera
com.android.camera/com.android.camera.module.camera.CameraActivity	generic_camera
com.android.camera/com.android.camera.view.CameraActivity	generic_camera
com.android.contacts/.activities.DialtactsActivity	google_contacts
com.android.contacts/.activities.PeopleActivity	google_contacts
com.android.contacts/.activities.TwelveKeyDialer	google_contacts
com.android.contacts/com.android.contacts.BaiJiaXingActivity	google_contacts
com.android.contacts/com.android.contacts.BbDialtactsMainFrameActivity	google_contacts
com.android.contacts/com.android.contacts.CallDialtactsActivity	google_contacts
com.android.contacts/com.android.contacts.CallLog	google_contacts
com.android.contacts/com.android.contacts.CallLogActivity	google_contacts
com.android.contacts/com.android.contacts.CallLogLauncherActivity	google_contacts
com.android.contacts/com.android.contacts.CallLogShortcut	google_contacts
com.android.contacts/com.android.contacts.ContactHostActivity	google_contacts
com.android.contacts/com.android.contacts.ContactsActivity	google_contacts
com.android.contacts/com.android.contacts.ContactsListActivity	google_contacts
com.android.contacts/com.android.contacts.ContactsListActivityEx	google_contacts
com.android.contacts/com.android.contacts.ContactsListActivityLauncher	google_contacts
com.android.contacts/com.android.contacts.ContactsMainFromHomeActivity	google_contacts
com.android.contacts/com.android.contacts.DialerActivity	google_contacts
com.android.contacts/com.android.contacts.DialtactsActivity	google_contacts
com.android.contacts/com.android.contacts.DialtactsActivityAlias	generic_dialer
com.android.contacts/com.android.contacts.DialtactsCallListEntryActivity	google_contacts
com.android.contacts/com.android.contacts.DialtactsCallLogActivity	google_contacts
com.android.contacts/com.android.contacts.DialtactsCallLogEntryActivity	google_contacts
com.android.contacts/com.android.contacts.DialtactsCallsEntryActivity	google_contacts
com.android.contacts/com.android.contacts.DialtactsContactsEntryActivity	google_contacts
com.android.contacts/com.android.contacts.DialtactsContactsEntryActivityForDialpad	google_contacts
com.android.contacts/com.android.contacts.DialtactsContactsEntryActivityForRecentCalls	google_contacts
com.android.contacts/com.android.contacts.DialtactsDialerEntryActivity	google_contacts
com.android.contacts/com.android.contacts.DialtactsEntryActivity	google_contacts
com.android.contacts/com.android.contacts.DialtactsPhoneEntryActivity	google_contacts
com.android.contacts/com.android.contacts.DialtactsRecentCallEntryActivity	google_contacts
com.android.contacts/com.android.contacts.DialtactsRecentCallsEntryActivity	google_contacts
com.android.contacts/com.android.contacts.DialtactsRecentCallsListActivity	google_contacts
com.android.contacts/com.android.contacts.DialtactsRecentEntryActivity	google_contacts
com.android.contacts/com.android.contacts.Dialtactscontacts_blueEntryActivity	google_contacts
com.android.contacts/com.android.contacts.LaunchCallLogActivity	google_contacts
com.android.contacts/com.android.contacts.MmsConversationActivity	google_contacts
com.android.contacts/com.android.contacts.PeopleActivityAlias	google_contacts
com.android.contacts/com.android.contacts.PhoneContactsActivity	google_contacts
com.android.contacts/com.android.contacts.PhoneDialtactsActivity	google_contacts
com.android.contacts/com.android.contacts.RecentCallLogLaunchActivity	google_contacts
com.android.contacts/com.android.contacts.RecentCallsEntryActivity	google_contacts
com.android.contacts/com.android.contacts.RecentCallsLauncherActivity	google_contacts
com.android.contacts/com.android.contacts.RecentCallsListActivity	google_contacts
com.android.contacts/com.android.contacts.SmartDailerActivity	google_contacts
com.android.contacts/com.android.contacts.SmartDialerActivity	google_contacts
com.android.contacts/com.android.contacts.SmartDialerListActivity	google_contacts
com.android.contacts/com.android.contacts.TransparentActivity	google_contacts
com.android.contacts/com.android.contacts.TwelveKeyDialer	google_contacts
com.android.contacts/com.android.contacts.activites.ContactFrontDoor	google_contacts
com.android.contacts/com.android.contacts.activites.ContactSelectionActivity	google_contacts
com.android.contacts/com.android.contacts.activites.DialtactsActivity	google_contacts
com.android.contacts/com.android.contacts.activites.NonPhoneActivity	google_contacts
com.android.contacts/com.android.contacts.activites.PeopleActivity	google_contacts
com.android.contacts/com.android.contacts.activities.CallLogActivity	google_contacts
com.android.contacts/com.android.contacts.activities.ContactTabBrowserActivity	google_contacts
com.android.contacts/com.android.contacts.activities.ContactsFrontDoor	google_contacts
com.android.contacts/com.android.contacts.activities.ContactsToDialerActivity	google_contacts
com.android.contacts/com.android.contacts.activities.DialerActivity	google_contacts
com.android.contacts/com.android.contacts.activities.DialtactsActivity	google_contacts
com.android.contacts/com.android.contacts.activities.FineOSPeopleActivity	google_contacts
com.android.contacts/com.android.contacts.activities.LenovoStyleActivity	google_contacts
com.android.contacts/com.android.contacts.activities.PCUDialtactsActivity	google_contacts
com.android.contacts/com.android.contacts.activities.PeopleActivity	google_contacts
com.android.contacts/com.android.contacts.activities.PeopleActivityEx	google_contacts
com.android.contacts/com.android.contacts.activities.PhoneFrontDoor	google_contacts
com.android.contacts/com.android.contacts.activities.TwelveKeyDialer	generic_dialer
com.android.contacts/com.android.contacts.activities.WtDialerActivity	google_contacts
com.android.contacts/com.android.contacts.att.ATTContactsActivity	google_contacts
com.android.contacts/com.android.contacts.dialer.DialerPhoneActivity	google_contacts
com.android.contacts/com.android.contacts.ice.IcePeopleActivity	google_contacts
com.android.contacts/com.android.contacts.mainlist.PeopleActivity	google_contacts
com.android.contacts/com.android.contacts.tmo.LaunchCommunityActivity	google_contacts
com.android.contacts/com.android.dcm.DCMActivity	google_contacts
com.android.contacts/com.android.dialer.DialtactsActivity	google_contacts
com.android.contacts/com.android.dialer.TwelveKeyDialer	generic_dialer
com.android.contacts/com.android.dialer.activities.DialtactsActivity	google_contacts
com.android.contacts/com.android.dialer.app.DialtactsActivity	google_contacts
com.android.contacts/com.android.internal.app.ResolverActivity	google_contacts
com.android.contacts/com.android.mms.ui.ConversationList	google_contacts
com.android.contacts/com.android.mms.ui.SearchActivity	google_contacts
com.android.contacts/com.app.contacts.PhoneBookTopMenuActivity	google_contacts
com.android.contacts/com.com.android.contacts.activities.TwelveKeyDialersec.android.app.contacts.PhoneBookTopMenuActivity	google_contacts
com.android.contacts/com.freeme.contacts.FreemePeopleActivity	google_contacts
com.android.contacts/com.gionee.contacts.activities.BaseActivity	google_contacts
com.android.contacts/com.jeffprod.cubesolver.MainActivity	google_contacts
com.android.contacts/com.oneplus.contacts.activities.OPDialtactsActivity	google_contacts
com.android.contacts/com.oneplus.contacts.activities.OPPeopleActivity	google_contacts
com.android.contacts/com.oppo.contacts.OppoDialtactsActivity	google_contacts
com.android.contacts/com.prc.activities.ToDialerActivity	generic_dialer
com.android.contacts/com.sec.android.app.contacts.ContactListActivity	google_contacts
com.android.contacts/com.sec.android.app.contacts.ContactsEntryActivity	google_contacts
com.android.contacts/com.sec.android.app.contacts.DialerEntryActivity	google_contacts
com.android.contacts/com.sec.android.app.contacts.GroupMemberListActivity	google_contacts
com.android.contacts/com.sec.android.app.contacts.PhoneBookSplitTopMenuActivity	google_contacts
com.android.contacts/com.sec.android.app.contacts.PhoneBookTopMenuActivity	google_contacts
com.android.contacts/com.sec.android.app.contacts.RecntcallEntryActivity	google_contacts
com.android.contacts/com.sec.android.app.contacts.contacts_blueEntryActivity	google_contacts
com.android.deskclock/.AlarmsMainActivity	generic_clock
com.android.deskclock/.DeskClock	generic_clock
com.android.deskclock/com.android.clock.Clock	generic_clock
com.android.deskclock/com.android.clock.Clockk	generic_clock
com.android.deskclock/com.android.deskclock.AlarmClock	generic_clock
com.android.deskclock/com.android.deskclock.AlarmMainActivity	generic_clock
com.android.deskclock/com.android.deskclock.AlarmsMainActivity	generic_clock
com.android.deskclock/com.android.deskclock.ClockActivity	generic_clock
com.android.deskclock/com.android.deskclock.ClockPackage	generic_clock
com.android.deskclock/com.android.deskclock.ClockTabStyle	generic_clock
com.android.deskclock/com.android.deskclock.DeskClock	generic_clock
com.android.deskclock/com.android.deskclock.DeskClockActivity	generic_clock
com.android.deskclock/com.android.deskclock.DeskClockGroupActivity	generic_clock
com.android.deskclock/com.android.deskclock.DeskClockMainActivity	generic_clock
com.android.deskclock/com.android.deskclock.DeskClockTabActivity	generic_clock
com.android.deskclock/com.android.deskclock.InitTab	generic_clock
com.android.deskclock/com.android.deskclock.MainActivity	generic_clock
com.android.deskclock/com.android.deskclock.MultiClockTab	generic_clock
com.android.deskclock/com.android.deskclock.StopwatchActivity	generic_clock
com.android.deskclock/com.android.deskclock.TabDetails	generic_clock
com.android.deskclock/com.android.main.TabsActivity	generic_clock
com.android.deskclock/com.android.worldclock.TYClock	generic_clock
